min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation
6;21;10;0;1;0;0;0;157.53125;0;0;1;0;0;0;0;0;32;32;32;32
6;22;10;4;0;0;1;1;131;0;0;0;0;0;0;0;0;34;34;34;33
6;23;8;4;0;0;3;3;53.46875;0;0;0;0;0;0;0;0;34;34;34;33
6;24;6;5;0;0;4;4;30.15625;0;0;0;0;0;77;0;1;34;10;34;6
6;25;5;5;0;0;3;3;54.53125;0;0;0;0;0;82;0;0;34;3;34;33
6;26;8;4;0;0;2;2;27;0;0;0;0;0;0;0;1.2;34;34;34;5
6;27;4;9;1;0;3;3;23.15625;0;0;1;0;6;42;0;0;6;15;34;33
6;28;2;10;0;0;5;5;20.625;0;0;0;0;0;71;0;0;34;13;34;33
6;29;10;0;1;0;0;0;97.53125;0;0;0;0;0;0;0;0;34;34;34;33
6;30;10;0;0;0;0;0;279.53125;0;0;0;0;0;0;0;0;0;0;0;0
6;31;5;5;0;0;3;3;98.53125;0;0;0;0;0;28;0;0;34;10;34;33
6;33;10;0;0;0;0;0;213.53125;0;0;0;0;0;0;0;0;0;0;0;0
6;35;0;10;1;0;9;8;29.90625;0;0;0;0;0;195;0;-1.25;34;5;34;34
6;65;4;6;0;0;3;2;29.53125;0;0;0;0;0;90;0;0;34;16;34;33
6;68;5;10;2;0;3;3;27.53125;0;0;0;0;6;0;0;3;34;34;34;2
7;2;10;0;4;0;0;0;244.8;0;0;6;0;0;0;0;0;32;32;32;32
7;3;0;10;1;0;3;3;133.8;9;0;1;0;20;52;0;0.833333333333333;2;9;34;5
7;4;8;2;0;0;1;1;174.8;0;0;0;0;0;0;0;0;34;34;34;34
7;5;9;4;0;0;2;2;20.3;0;0;0;0;0;0;0;1;35;35;35;7
7;6;5;5;0;0;2;2;73.8;0;0;0;0;0;30;0;0.666666666666666;34;18;34;9
7;7;1;9;2;0;2;2;46.8;0;0;0;0;15;75;0;0;4;15;34;33
7;8;6;4;0;0;2;2;53.8;0;0;0;0;0;70;0;0;34;15;34;33
7;9;2;8;1;0;2;2;74.8;0;0;0;0;5;0;0;0;7;34;34;33
7;10;10;0;1;0;0;0;161.8;0;0;1;0;0;0;0;0;34;34;34;33
7;11;8;2;0;0;1;1;125.8;0;0;0;0;0;0;0;0.222222222222222;34;34;34;9
7;12;4;6;0;0;2;2;91.8;0;0;0;0;0;24;0;1;34;17;34;6
7;13;0;10;1;0;8;5;19.05;0;0;0;0;0;242;0;0;35;1;35;34
7;14;1;9;1;0;2;2;147.8;31;0;0;0;34;28;0;0.8;1;13;34;5
7;15;10;0;0;0;0;0;390.8;0;0;0;0;0;0;0;0;0;0;0;0
7;16;3;7;1;0;2;2;105.8;0;0;0;0;0;75;0;2.5;34;8;34;3
7;17;2;10;0;0;7;7;17.25;0;0;0;0;0;152;0;0.5;35;6;35;13
7;18;3;7;1;0;9;6;29.15;6;0;0;0;0;8;0;0.4;35;23;35;12
7;19;6;4;2;0;3;1;25.2;0;0;0;0;16;88;0;4;5;14;35;1
7;20;3;7;1;0;7;3;61.8;0;0;0;0;0;8;14.4722222222222;0;34;22;1;33
7;21;10;0;1;0;0;0;227.8;0;0;1;0;0;0;0;0;32;32;32;32
7;22;6;4;0;0;1;1;79.8;0;0;0;0;0;0;0;0;34;34;34;33
7;23;6;4;0;0;3;3;49.8;0;0;0;0;0;0;0;0;34;34;34;33
7;24;5;5;0;0;4;4;90.8;0;0;0;0;0;77;0;1;34;10;34;6
7;25;5;5;0;0;3;3;124.8;0;0;0;0;0;82;0;0;34;3;34;33
7;26;6;7;0;0;5;5;20.85;0;0;0;0;0;14;0;1.84285714285714;35;34;35;5
7;27;1;9;1;0;3;3;90.8;0;0;1;0;6;42;0;0;6;15;34;33
7;28;4;10;0;0;8;8;38.5;0;0;0;0;0;112;0;2;35;13;35;33
7;29;10;0;1;0;0;0;167.8;0;0;0;0;0;0;0;0;34;34;34;33
7;30;10;0;0;0;0;0;349.8;0;0;0;0;0;0;0;0;0;0;0;0
7;31;5;5;0;0;4;3;35.6;0;0;0;0;0;136;0;0;35;10;35;34
7;33;10;0;0;0;0;0;283.8;0;0;0;0;0;0;0;0;0;0;0;0
7;35;0;10;1;0;10;8;51.25;0;0;0;0;2;248;0;-1.25;34;2;35;35
7;65;4;6;0;0;4;2;32.9;0;0;0;0;0;90;2;0;35;15;34;34
7;68;5;10;2;0;7;7;28.8;0;0;0;0;6;0;0;5.5;7;35;35;2
7;146;10;0;0;0;0;0;27.5789473684211;0;0;0;0;0;0;0;0;0;0;0;0
8;2;10;0;4;0;0;0;295.045454545455;0;0;6;0;0;0;0;0;32;32;32;32
8;3;0;10;1;0;3;3;184.045454545455;9;0;1;0;20;52;0;0.833333333333333;2;9;34;5
8;4;8;5;0;0;2;2;88.8636363636364;0;0;0;0;0;20;0;0;36;34;36;35
8;5;6;4;0;0;2;2;58.0454545454545;0;0;0;0;0;0;0;1;35;35;35;7
8;6;5;5;0;0;2;2;124.045454545455;0;0;0;0;0;30;0;0.666666666666666;34;18;34;9
8;7;0;10;2;0;3;3;32.1363636363636;15;0;0;0;15;119;0;1.11111111111111;5;9;35;6
8;8;6;4;0;0;2;2;104.045454545455;0;0;0;0;0;70;0;0;34;15;34;33
8;9;2;8;1;0;2;2;125.045454545455;0;0;0;0;5;0;0;0;7;34;34;33
8;10;10;0;1;0;0;0;212.045454545455;0;0;1;0;0;0;0;0;34;34;34;33
8;11;8;2;0;0;1;1;176.045454545455;0;0;0;0;0;0;0;0.222222222222222;34;34;34;9
8;12;4;6;0;0;2;2;142.045454545455;0;0;0;0;0;24;0;1;34;17;34;6
8;13;0;10;2;0;8;5;49.5909090909091;0;0;0;0;0;293;0.5;0;36;1;35;35
8;14;1;9;1;0;2;2;198.045454545455;31;0;0;0;34;28;0;0.8;1;13;34;5
8;15;10;0;0;0;0;0;441.045454545455;0;0;0;0;0;0;0;0;0;0;0;0
8;16;3;10;1;0;3;3;76.0454545454545;0;0;0;0;4;153;0;2.5;34;9;36;3
8;17;2;10;0;0;11;11;27.4545454545455;0;0;0;0;0;167;0;2.36666666666666;36;6;35;13
8;18;3;7;1;0;9;6;41.0454545454545;6;0;0;0;0;8;0;0.4;35;23;35;12
8;19;6;4;2;0;5;1;22.3181818181818;0;0;0;0;17;88;1;4;5;17;35;2
8;20;3;7;1;0;7;3;112.045454545455;0;0;0;0;0;8;14.4722222222222;0;34;22;1;33
8;21;10;0;1;0;0;0;278.045454545455;0;0;1;0;0;0;0;0;32;32;32;32
8;22;6;4;0;0;1;1;130.045454545455;0;0;0;0;0;0;0;0;34;34;34;33
8;23;6;4;0;0;3;3;100.045454545455;0;0;0;0;0;0;0;0;34;34;34;33
8;24;5;5;0;0;4;4;141.045454545455;0;0;0;0;0;77;0;1;34;10;34;6
8;25;5;6;0;0;4;4;63.9090909090909;0;0;0;0;0;167;0;0;36;5;36;35
8;26;3;7;0;0;5;5;33.0454545454545;0;0;0;0;0;10;0;1.84285714285714;35;24;35;5
8;27;5;9;1;0;5;5;97.6818181818182;0;0;1;0;6;104;0;0;8;15;36;35
8;28;4;6;0;0;9;8;25.0454545454545;0;0;0;0;0;122;0;2;36;11;36;5
8;29;10;0;1;0;0;0;218.045454545455;0;0;0;0;0;0;0;0;34;34;34;33
8;30;10;0;0;0;0;0;400.045454545455;0;0;0;0;0;0;0;0;0;0;0;0
8;31;5;7;0;0;5;4;45.2727272727273;0;0;0;0;0;156;0;0;36;8;36;35
8;33;10;0;0;0;0;0;334.045454545455;0;0;0;0;0;0;0;0;0;0;0;0
8;35;2;10;1;0;14;11;9.59090909090909;0;0;0;0;3;275;0;-1.25;12;3;36;36
8;65;4;6;0;0;5;2;21.9545454545455;0;0;0;0;0;85;3.33333333333333;0;36;18;2;35
8;68;3;10;2;0;9;9;19.3181818181818;0;0;0;0;6;25;0;5.5;7;35;36;1
8;146;10;0;0;0;0;0;76.0454545454545;0;0;0;0;0;0;0;0;0;0;0;0
8;169;10;0;0;0;0;0;26.4736842105263;0;0;0;0;0;0;0;0;0;0;0;0
9;2;10;0;4;0;0;0;358.090909090909;0;0;7;0;0;0;0;0;32;32;32;32
9;3;0;10;1;0;3;3;247.090909090909;9;0;1;0;20;52;0;0.833333333333333;2;9;34;5
9;4;5;5;0;0;2;2;74.0909090909091;0;0;0;0;0;20;0;0;36;23;36;35
9;5;6;6;0;0;3;3;38.4545454545455;0;0;0;0;0;39;0;1;36;35;35;9
9;6;5;5;0;0;2;2;187.090909090909;0;0;0;0;0;30;0;0.666666666666666;34;18;34;9
9;7;0;10;2;0;3;3;92.0909090909091;15;0;0;0;15;119;0;1.11111111111111;5;9;35;6
9;8;6;4;0;0;2;2;167.090909090909;0;0;0;0;0;70;0;0;34;15;34;33
9;9;2;8;1;0;2;2;188.090909090909;0;0;0;0;5;0;0;0;7;34;34;33
9;10;10;0;1;0;0;0;275.090909090909;0;0;1;0;0;0;0;0;34;34;34;33
9;11;8;4;0;0;2;2;239.090909090909;0;0;0;0;0;4;0;0.222222222222222;38;34;36;18
9;12;4;10;0;0;3;3;66.9090909090909;0;0;0;0;0;132;0;1;36;17;34;9
9;13;1;10;2;0;9;6;24.6363636363636;0;0;0;0;6;293;0.5;0.5;36;1;4;35
9;14;1;9;2;0;2;2;141.545454545455;31;0;1;0;36;274;0;0.8;2;13;35;12
9;15;10;0;0;0;0;0;504.090909090909;0;0;0;0;0;0;0;0;0;0;0;0
9;16;0;10;1;0;3;3;59.0909090909091;0;0;0;0;4;153;0;2.5;9;9;36;3
9;17;0;10;0;0;11;11;40.0909090909091;0;0;0;0;0;167;0;0.583333333333333;36;6;34;13
9;18;3;7;1;0;9;6;104.090909090909;6;0;0;0;0;8;0;0.4;35;23;35;12
9;19;6;4;2;0;6;1;36.2727272727273;0;0;0;0;17;88;0;4;4;17;37;2
9;20;3;8;1;0;8;4;85.6363636363636;0;0;0;0;2;16;15.1443722943722;1;34;25;1;33
9;21;10;0;1;0;0;0;341.090909090909;0;0;1;0;0;0;0;0;32;32;32;32
9;22;6;4;0;0;1;1;193.090909090909;0;0;0;0;0;0;0;0;34;34;34;33
9;23;6;4;0;0;3;3;163.090909090909;0;0;0;0;0;0;0;0;34;34;34;33
9;24;5;5;0;0;4;4;204.090909090909;0;0;0;0;0;77;0;1;34;10;34;6
9;25;4;6;0;0;4;4;75.0909090909091;0;0;0;0;0;167;0;0;36;5;36;35
9;26;3;7;0;0;5;5;96.0909090909091;0;0;0;0;0;10;0;1.84285714285714;35;24;35;5
9;27;1;9;1;0;5;5;45.0909090909091;0;0;1;0;6;104;0;0;8;14;36;35
9;28;4;6;1;0;9;8;31.7272727272727;0;0;1;0;0;122;-1;2;36;11;36;4
9;29;10;0;1;0;0;0;281.090909090909;0;0;0;0;0;0;0;0;34;34;34;33
9;30;10;0;0;0;0;0;463.090909090909;0;0;0;0;0;0;0;0;0;0;0;0
9;31;3;9;0;0;6;5;39.6363636363636;0;0;0;0;0;156;0;1;37;8;36;35
9;33;10;0;0;0;0;0;397.090909090909;0;0;0;0;0;0;0;0;0;0;0;0
9;35;1;9;1;0;15;11;26.4545454545455;0;0;0;0;3;236;0;-3.18181818181818;12;3;35;37
9;65;4;6;0;0;5;2;55.0909090909091;0;0;0;0;0;60;3.33333333333333;0;36;18;2;35
9;68;0;10;3;0;9;9;43.1818181818182;0;0;0;0;6;40;0;4.5;9;22;36;1
9;146;10;0;0;0;0;0;139.090909090909;0;0;0;0;0;0;0;0;0;0;0;0
9;169;10;0;0;0;0;0;85.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
9;194;10;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
9;199;10;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0
10;2;10;0;4;0;0;0;409.911764705882;0;0;8;0;0;0;0;0;32;32;32;32
10;3;0;10;1;0;3;3;298.911764705882;9;0;1;0;20;52;0;0.833333333333333;2;9;34;5
10;4;5;7;0;0;3;3;92.7352941176471;0;0;0;0;0;29;0;0;38;24;36;36
10;5;4;7;0;0;4;4;33.7352941176471;0;0;0;0;0;53;0;1;38;21;37;12
10;6;5;7;0;0;3;3;158.029411764706;0;0;0;0;0;90;0;0.666666666666666;38;18;37;15
