IDBuyer;Day;Hour;Seller;Buyer;Prod;QualID;FinPrice;TransPrice;StdPrice;ProdPrice;Age;r;Qty;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
20035;2;63;3;35;0;0;20;16,15;16,15;15,69;1;Qty;10;0,0917829;0;20000;16,61;60;271;0;0,238390093;0,029318037;2,383900929;0,29318037;201;148;0,7;0,049751244;0,067567568;B;XP4;20035;70
20065;2;65;4;65;2;1;28;22,71;22,71;15,24;0;Qty;1;0,48878;1;22100;30,1946;70;528;184;0,232937032;0,49015748;0,232937032;0,49015748;230;1055;4,6;0,004347826;0,000947867;R;XP4;22165;230
20065;2;65;4;65;0;2;28;24,09;24,09;17,79;0;Qty;10;0,616726;1;20100;30,4067;70;389;112;0,162308012;0,354131535;1,623080116;3,541315346;230;281;1,2;0,043478261;0,035587189;R;XP4;20165;230
20041;2;69;2;41;2;2;28;23,84;23,84;17,49;2;Qty;10;0,406217;1;22100;30,1946;70;528;184;0,174496644;0,363064608;1,744966443;3,630646083;230;1055;4,6;0,043478261;0,009478673;N;XP4;22141;140
20035;2;70;18;35;1;2;24;18,35;18,35;18,35;2;Qty;10;0,26667;0;21000;16,284;70;101;0;0,307901907;0;3,079019074;0;220;216;1;0,045454545;0,046296296;B;XP4;21035;70
20044;2;70;2;44;2;3;32;24,57;24,57;18,96;1;Qty;10;0,623512;1;22100;30,1946;70;528;184;0,302401302;0,295886076;3,024013024;2,958860759;230;1055;4,6;0,043478261;0,009478673;N;XP4;22144;90
20039;2;75;3;39;0;0;20;16,15;16,15;15,69;1;Qty;10;0,0917829;0;20000;16,61;80;271;0;0,238390093;0,029318037;2,383900929;0,29318037;201;148;0,7;0,049751244;0,067567568;B;XP4;20039;100
20038;2;77;4;38;2;1;28;22,71;22,71;15,24;0;Qty;10;0,48878;1;22100;30,1946;80;528;184;0,232937032;0,49015748;2,329370321;4,901574803;230;1055;4,6;0,043478261;0,009478673;B;XP4;22138;120
20057;2;77;7;57;1;1;24;16;16;15,72;1;Qty;10;0,288747;0;21000;16,284;80;101;0;0,5;0,017811705;5;0,178117048;220;216;1;0,045454545;0,046296296;R;XP4;21057;90
20046;2;77;11;46;0;5;36;25,34;25,34;18,63;0;Qty;10;0,861018;2;20200;32,0579;80;377;377;0,420678769;0,360171766;4,206787687;3,60171766;70;363;5,2;0,142857143;0,027548209;N;XP4;20246;90
20046;2;80;19;46;1;1;32;23,45;23,45;16,1;0;Qty;8;0,646833;1;21100;30,8071;80;383;134;0,364605544;0,456521739;2,91684435;3,652173913;230;348;1,5;0,034782609;0,022988506;N;XP4;21146;90
20040;2;83;2;40;2;1;24;22,3;22,3;15,7;2;Qty;10;0,227115;0;22000;28,9143;80;139;6;0,076233184;0,420382166;0,762331839;4,203821656;200;324;1,6;0,05;0,030864198;B;XP4;22040;110
