Day;Seller;NbBuyer;MoyHour;SumQty;NbProd;MoyTransPrice;MoyFinPrice;MoyQualID;MoyStdPrice;MoyProdPrice;MoyAge;MoyQuality;MoyQty;MoyQualAdmId;MoyIDAdmin;MoyAdminPrice;Moysupply;MoyHour2;MoymargBuyer;MoyNewOffer;MoymargSeller;MoyVmargBuyer;MoyVmargSeller;Moydem2;Moysup2;Moysup/dem;Moyqty/dem;Moyqty/off;SumVmargBuyer;SumVmargSeller;Moydertrans
4;8;15;112.8;122;15;19.8986666666667;27.7333333333333;2;20.5046666666667;16.492;0.6;0.4926686;8.13333333333333;1.13333333333333;40646.6666666667;24.1261866666667;348.266666666667;113.333333333333;0.386852321;207.533333333333;0.209205886066667;3.42893417046667;1.76391359826667;158;336.6;3.29333333333333;0.0694886129333333;0.0287077374666667;51.434012557;26.458703974;134
4;9;6;151.166666666667;55;6;21.33;28;1.16666666666667;21.5766666666667;17.8383333333333;0.166666666666667;0.597303833333333;9.16666666666667;1.16666666666667;40616.6666666667;25.3272333333333;309;151.666666666667;0.311123881666667;194.666666666667;0.197087268833333;2.88348377783333;1.82947197766667;171.666666666667;334.666666666667;2.75;0.0657867495;0.0307197123333333;17.300902667;10.976831866;178.333333333333
4;10;8;129.875;57;8;19.6525;27;2.875;26.10625;17.03875;1.5;0.468208375;7.125;0.875;42087.5;22.692375;748.875;131.25;0.37252747;213.5;0.154792463875;2.632813984875;1.021976383125;200.625;650;3.55;0.036282252875;0.01091239375;21.062511879;8.175811065;165
4;12;3;186;11;3;22.61;29.3333333333333;2;22.61;18.46;0;0.682644;3.66666666666667;2;40200;26.7721;368;190;0.297361049666667;368;0.224810401;0.992038921;0.824304803333333;70;390;5.6;0.0523809523333333;0.00940170966666667;2.976116763;2.47291441;200
4;13;6;157.333333333333;57;6;21.82;36;1;25.9833333333333;19.0433333333333;0;0.9999;9.5;2;41533.3333333333;25.4047666666667;416.666666666667;156.666666666667;0.652540397333333;381.333333333333;0.147066037333333;6.17594668366667;1.42141206016667;70;460.666666666667;6.6;0.135714285833333;0.0209798041666667;37.055680102;8.528472361;270
4;14;7;159.571428571429;61;7;21.0542857142857;33.1428571428571;4.28571428571429;21.2085714285714;18.2057142857143;0.571428571428571;0.760295428571429;8.71428571428571;1.71428571428571;42171.4285714286;24.2151857142857;470.857142857143;160;0.565948099285714;332.571428571429;0.157087332571429;4.77623022371429;1.32890705214286;88.5714285714286;507.571428571429;6.5;0.111224489857143;0.0171648002857143;33.433611566;9.302349365;177.142857142857
4;15;13;128.384615384615;102;13;19.8238461538462;25.5384615384615;1.07692307692308;20.5684615384615;17.0338461538462;1.15384615384615;0.481963461538462;7.84615384615385;1.07692307692308;41492.3076923077;23.8713307692308;449.461538461538;128.461538461538;0.278666166769231;171.769230769231;0.165358624;2.18877384238462;1.25317602869231;169;451.076923076923;3.80769230769231;0.0695404968461538;0.0180665400769231;28.454059951;16.291288373;140.769230769231
4;16;1;110;10;1;20.44;28;3;20.65;18.41;2;0.568114;10;1;42100;22.8917;850;110;0.369863014;264;0.11026616;3.698630137;1.102661597;227;710;3.1;0.044052863;0.014084507;3.698630137;1.102661597;180
4;17;7;57.2857142857143;68;7;22.3757142857143;34.2857142857143;6.14285714285714;30.9471428571429;19.17;0;0.846095857142857;9.71428571428571;2;40200;26.7721;368;58.5714285714286;0.531024862285714;368;0.167285606428571;5.14778363785714;1.61598190457143;70;390;5.6;0.138775510285714;0.0249084252857143;36.034485465;11.311873332;101.428571428571
4;18;8;111.75;73;8;23.8275;28.5;5.125;25.01625;16.6825;0.5;0.568383075;9.125;1.375;41262.5;24.2758875;363.25;112.5;0.206914125625;212.375;0.4336551465;1.736405635875;3.96517290175;114.625;349.25;5.3;0.124370244125;0.046245764375;13.891245087;31.721383214;142.5
