IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10056;;D;1;H;166;Trans;From;17;To;56;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,74;BuyPrice;17,3;Age;0;Qty;10;Qual;0,844711;2;10200;46,1878;170;372;372;0,139240506;0,826589595;1,392405063;8,265895954;70;377;5,4;0,142857143;0,026525199;R;XP4;10256;270
10039;;D;1;H;174;Trans;From;19;To;39;Pr;0;Qual;0;FinPrice;20;Price;15,35;StdPrice;15,35;BuyPrice;15,35;Age;1;Qty;3;Qual;0,130394;0;10000;0;170;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10039;170
10024;;D;1;H;175;Trans;From;13;To;24;Pr;0;Qual;0;FinPrice;24;Price;16,07;StdPrice;16,07;BuyPrice;16,08;Age;1;Qty;10;Qual;0,253849;0;10000;0;180;0;0;0,493466086;-0,000621891;4,934660859;-0,006218905;200;271;1,4;0,05;0,036900369;B;XP4;10024;180
10033;;D;1;H;175;Trans;From;18;To;33;Pr;1;Qual;3;FinPrice;20;Price;17,5;StdPrice;17,5;BuyPrice;17,5;Age;1;Qty;10;Qual;0,318267;0;11000;0;180;0;0;0,142857143;0;1,428571429;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11033;210
10026;;D;1;H;178;Trans;From;3;To;26;Pr;1;Qual;1;FinPrice;24;Price;17,13;StdPrice;17,13;BuyPrice;17,13;Age;1;Qty;9;Qual;0,305169;0;11000;0;180;0;0;0,401050788;0;3,609457093;0;220;101;0,5;0,040909091;0,089108911;B;XP4;11026;180
10037;;D;1;H;178;Trans;From;13;To;37;Pr;0;Qual;0;FinPrice;24;Price;16,07;StdPrice;16,07;BuyPrice;16,08;Age;1;Qty;6;Qual;0,253849;0;10000;0;180;0;0;0,493466086;-0,000621891;2,960796515;-0,003731343;200;271;1,4;0,03;0,022140221;B;XP4;10037;220
10022;;D;1;H;181;Trans;From;3;To;22;Pr;1;Qual;1;FinPrice;20;Price;17,13;StdPrice;17,13;BuyPrice;17,13;Age;1;Qty;9;Qual;0,305169;0;11000;0;180;0;0;0,167542323;0;1,507880911;0;220;101;0,5;0,040909091;0,089108911;B;XP4;11022;180
10028;;D;1;H;183;Trans;From;18;To;28;Pr;1;Qual;3;FinPrice;20;Price;17,5;StdPrice;17,5;BuyPrice;17,5;Age;1;Qty;2;Qual;0,318267;0;11000;0;180;0;0;0,142857143;0;0,285714286;0;220;101;0,5;0,009090909;0,01980198;B;XP4;11028;180
10029;;D;1;H;190;Trans;From;10;To;29;Pr;1;Qual;2;FinPrice;20;Price;15,62;StdPrice;30,53;BuyPrice;16,57;Age;1;Qty;4;Qual;0,375453;1;11100;44,4944;190;165;165;0,280409731;-0,057332529;1,121638924;-0,229330115;230;383;1,7;0,017391304;0,010443864;B;XP4;11129;190
10061;;D;1;H;197;Trans;From;11;To;61;Pr;0;Qual;3;FinPrice;32;Price;30,21;StdPrice;30,21;BuyPrice;17,27;Age;0;Qty;2;Qual;0,654675;1;10100;43,1556;200;176;176;0,059251903;0,749276202;0,118503807;1,498552403;230;389;1,7;0,008695652;0,005141388;R;XP4;10161;260
